# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050.000000000001
  1 0.005 2.16 0.0132194
  2 0.015 3.84 0.0248428
  3 0.025 8.12 0.0519881
  4 0.035 4.62 0.0292044
  5 0.045 7.02 0.0442741
  6 0.055 1.24 0.00775121
  7 0.065 0 0
  8 0.075 0.88 0.00555371
  9 0.085 1.95 0.0123012
  10 0.095 0.17 0.00117617
  11 0.105 0 0
  12 0.115 0 0
  13 0.125 0.19 0.00131454
  14 0.135 6.77 0.0428721
  15 0.145 5.42 0.0344806
  16 0.155 4.91 0.0309349
  17 0.165 0.71 0.00458452
  18 0.175 0 0
  19 0.185 2.48 0.0162268
  20 0.195 4.55 0.0282889
  21 0.205 1.97 0.0125776
  22 0.215 0 0
  23 0.225 0 0
  24 0.235 0.05 0.000345933
  25 0.245 1.78 0.0113493
  26 0.255 1.17 0.00733589
  27 0.265 2.61 0.0163328
  28 0.275 3.49 0.022266
  29 0.285 2.9 0.0184945
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 0 0
  33 0.325 0 0
  34 0.335 1.96 0.0126464
  35 0.345 50.17 0.319373
  36 0.355 188.76 1.19616
  37 0.365 224.8 1.42883
  38 0.375 237.6 1.50457
  39 0.385 252.17 1.59472
  40 0.395 227.24 1.44362
  41 0.405 235.14 1.49416
  42 0.415 239.41 1.51994
  43 0.425 227.08 1.43931
  44 0.435 230.48 1.46739
  45 0.445 238.99 1.51298
  46 0.455 234.44 1.48478
  47 0.465 236.15 1.49911
  48 0.475 229.93 1.45786
  49 0.485 212.93 1.35081
  50 0.495 205.09 1.30393
  51 0.505 198.46 1.25501
  52 0.515 229.77 1.45809
  53 0.525 232.53 1.47517
  54 0.535 235.6 1.49444
  55 0.545 225.65 1.43714
  56 0.555 240.59 1.52291
  57 0.565 233.65 1.48223
  58 0.575 234.21 1.48621
  59 0.585 240.54 1.52178
  60 0.595 241.77 1.53677
  61 0.605 233.23 1.48074
  62 0.615 247.2 1.56684
  63 0.625 238.49 1.50833
  64 0.635 217.67 1.38336
  65 0.645 161.92 1.02635
  66 0.655 19.2 0.123765
  67 0.665 0.18 0.00124536
  68 0.675 0 0
  69 0.685 0 0
  70 0.695 0 0
  71 0.705 1.26 0.00849327
  72 0.715 3.43 0.0211955
  73 0.725 4.31 0.0274046
  74 0.735 0.71 0.00491224
  75 0.745 4.48 0.0279426
  76 0.755 0.85 0.00546689
  77 0.765 6.83 0.042925
  78 0.775 2.13 0.0139088
  79 0.785 0 0
  80 0.795 0 0
  81 0.805 0.22 0.0015221
  82 0.815 2.41 0.0149491
  83 0.825 0.37 0.0025599
  84 0.835 0 0
  85 0.845 10.36 0.0654506
  86 0.855 1.93 0.0126803
  87 0.865 5.17 0.0323887
  88 0.875 6.41 0.0408299
  89 0.885 0.13 0.000899425
  90 0.895 0 0
  91 0.905 0 0
  92 0.915 2.13 0.0130119
  93 0.925 6.67 0.0434049
  94 0.935 4.68 0.0291193
  95 0.945 3.69 0.0229081
  96 0.955 5.59 0.0355361
  97 0.965 1.35 0.00902971
  98 0.975 2.74 0.0172323
  99 0.985 0.15 0.0010378
  100 0.995 0 0
2000 100 7049.999999999998
  1 0.005 4.27 0.0273521
  2 0.015 1.73 0.0107101
  3 0.025 5.26 0.0329424
  4 0.035 5.94 0.0379921
  5 0.045 5.22 0.0327692
  6 0.055 4.16 0.0267463
  7 0.065 2.76 0.0176294
  8 0.075 0.66 0.0041696
  9 0.085 0 0
  10 0.095 0 0
  11 0.105 0 0
  12 0.115 0.76 0.00484421
  13 0.125 2.2 0.0142379
  14 0.135 4.71 0.0297926
  15 0.145 7.52 0.0477852
  16 0.155 2.81 0.0175268
  17 0.165 0 0
  18 0.175 0 0
  19 0.185 2.42 0.015277
  20 0.195 1.6 0.0101039
  21 0.205 3.73 0.023616
  22 0.215 1.25 0.00809637
  23 0.225 0.51 0.00326979
  24 0.235 1.98 0.0125433
  25 0.245 0.81 0.00529364
  26 0.255 1.79 0.0109528
  27 0.265 1.33 0.00890859
  28 0.275 5.25 0.0328732
  29 0.285 0.33 0.00228316
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 0 0
  33 0.325 0.29 0.00200641
  34 0.335 22.52 0.144321
  35 0.345 121.8 0.772836
  36 0.355 190.99 1.21133
  37 0.365 212.56 1.34508
  38 0.375 207.23 1.31748
  39 0.385 238.04 1.50615
  40 0.395 212.86 1.3499
  41 0.405 222.29 1.41579
  42 0.415 230.56 1.46032
  43 0.425 216.04 1.37393
  44 0.435 229.03 1.45042
  45 0.445 234.52 1.48794
  46 0.455 232.13 1.46904
  47 0.465 237.66 1.51318
  48 0.475 235.44 1.48925
  49 0.485 220.03 1.39943
  50 0.495 213.04 1.34478
  51 0.505 210.92 1.34108
  52 0.515 224.7 1.42189
  53 0.525 226.99 1.44245
  54 0.535 243.75 1.53962
  55 0.545 226.21 1.44676
  56 0.555 232.01 1.47111
  57 0.565 230.99 1.46396
  58 0.575 229.42 1.45507
  59 0.585 226.16 1.43267
  60 0.595 226.84 1.44174
  61 0.605 214.84 1.3638
  62 0.615 232.69 1.47245
  63 0.625 207.53 1.32049
  64 0.635 204.98 1.29895
  65 0.645 199.64 1.26126
  66 0.655 81.23 0.518484
  67 0.665 7.07 0.0456377
  68 0.675 0 0
  69 0.685 0 0
  70 0.695 0 0
  71 0.705 1 0.00691865
  72 0.715 4.96 0.0308841
  73 0.725 0.55 0.00356378
  74 0.735 2.78 0.0175608
  75 0.745 5.47 0.0344643
  76 0.755 4.98 0.0317296
  77 0.765 2.39 0.0156904
  78 0.775 1.87 0.0114373
  79 0.785 0 0
  80 0.795 0.33 0.00228316
  81 0.805 2.11 0.013046
  82 0.815 0.56 0.00370196
  83 0.825 0 0
  84 0.835 3.51 0.0227321
  85 0.845 7.6 0.0474417
  86 0.855 0.89 0.00595062
  87 0.865 1.26 0.00833804
  88 0.875 9.05 0.0570253
  89 0.885 1.69 0.0107611
  90 0.895 0 0
  91 0.905 0 0
  92 0.915 2.24 0.0137729
  93 0.925 6.67 0.042715
  94 0.935 2.23 0.0140487
  95 0.945 5.66 0.0353477
  96 0.955 3.65 0.0235282
  97 0.965 3.55 0.0228364
  98 0.975 0.69 0.00460139
  99 0.985 2.03 0.0124925
  100 0.995 0.28 0.00193722
3000 100 7049.999999999999
  1 0.005 5.08 0.0318178
  2 0.015 0.38 0.00262909
  3 0.025 2.69 0.0166621
  4 0.035 5.38 0.0348076
  5 0.045 7.44 0.0471109
  6 0.055 4.67 0.0294986
  7 0.065 3.47 0.0219379
  8 0.075 0.35 0.0022318
  9 0.085 0 0
  10 0.095 0.5 0.00326959
  11 0.105 1.35 0.00837427
  12 0.115 1.34 0.0087018
  13 0.125 3.51 0.0221802
  14 0.135 2.3 0.0145675
  15 0.145 3.18 0.0202765
  16 0.155 4.01 0.0252428
  17 0.165 1.81 0.0115741
  18 0.175 0.71 0.00484325
  19 0.185 2.29 0.0141879
  20 0.195 0 0
  21 0.205 1.07 0.00700624
  22 0.215 6.05 0.0381667
  23 0.225 1.87 0.0118512
  24 0.235 0.01 6.91865e-05
  25 0.245 2.46 0.0155365
  26 0.255 0.54 0.00349459
  27 0.265 2.35 0.0146547
  28 0.275 3.65 0.0234075
  29 0.285 0 0
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 0 0
  33 0.325 8.96 0.0579033
  34 0.335 75.26 0.478629
  35 0.345 170.03 1.07648
  36 0.355 188.62 1.1993
  37 0.365 203.94 1.28965
  38 0.375 197.97 1.25771
  39 0.385 212.21 1.34776
  40 0.395 214.29 1.35562
  41 0.405 199.72 1.26632
  42 0.415 223.93 1.42483
  43 0.425 208.84 1.3226
  44 0.435 209.66 1.32948
  45 0.445 229.82 1.45866
  46 0.455 221.81 1.4082
  47 0.465 232.1 1.47163
  48 0.475 237.24 1.50039
  49 0.485 226.76 1.44281
  50 0.495 220.23 1.39473
  51 0.505 222.57 1.41307
  52 0.515 220.84 1.3999
  53 0.525 227.35 1.44449
  54 0.535 240.81 1.52188
  55 0.545 208.55 1.3292
  56 0.555 223.79 1.42096
  57 0.565 219.73 1.38973
  58 0.575 216.2 1.37354
  59 0.585 205.51 1.30543
  60 0.595 208.9 1.32477
  61 0.605 219.93 1.39386
  62 0.615 213.28 1.35534
  63 0.625 197.94 1.25431
  64 0.635 211.86 1.34322
  65 0.645 187.78 1.18998
  66 0.655 150.08 0.949557
  67 0.665 45.23 0.289956
  68 0.675 1.26 0.0087175
  69 0.685 0 0
  70 0.695 0 0
  71 0.705 1.37 0.00873687
  72 0.715 4.63 0.0293254
  73 0.725 0.86 0.00546709
  74 0.735 3.86 0.0245499
  75 0.745 4.38 0.0278717
  76 0.755 4.6 0.0290661
  77 0.765 1.06 0.00657484
  78 0.775 2.9 0.0183048
  79 0.785 0.8 0.00531069
  80 0.795 2.26 0.0141355
  81 0.805 0.28 0.00193722
  82 0.815 0 0
  83 0.825 2.16 0.0138059
  84 0.835 5.74 0.0363496
  85 0.845 1.78 0.0116425
  86 0.855 2.32 0.0143264
  87 0.865 0 0
  88 0.875 5.26 0.0330287
  89 0.885 5.64 0.036158
  90 0.895 1.1 0.00693783
  91 0.905 0 0
  92 0.915 3.5 0.0220937
  93 0.925 3.82 0.0241007
  94 0.935 1.82 0.0118675
  95 0.945 2.83 0.0179239
  96 0.955 8.81 0.0557098
  97 0.965 2.88 0.0182699
  98 0.975 0.34 0.00228335
  99 0.985 0.4 0.00254323
  100 0.995 3.14 0.0201032
4000 100 7049.999999999999
  1 0.005 4.79 0.0300874
  2 0.015 1.08 0.00702369
  3 0.025 2.59 0.0170741
  4 0.035 6.17 0.0386865
  5 0.045 5.36 0.0338413
  6 0.055 3.33 0.0211073
  7 0.065 2.12 0.0136154
  8 0.075 3.81 0.023928
  9 0.085 1.79 0.011453
  10 0.095 1.29 0.00816613
  11 0.105 0.48 0.00325196
  12 0.115 2.73 0.0173701
  13 0.125 2.79 0.0174402
  14 0.135 2.31 0.0145332
  15 0.145 0.69 0.0044979
  16 0.155 0.07 0.000484306
  17 0.165 4.11 0.0260036
  18 0.175 4.22 0.0264542
  19 0.185 0.6 0.00415119
  20 0.195 0.69 0.00435991
  21 0.205 1.86 0.0117993
  22 0.215 1.01 0.00674636
  23 0.225 4.51 0.0281329
  24 0.235 3.15 0.0199999
  25 0.245 0.78 0.00508608
  26 0.255 0.29 0.00200641
  27 0.265 5.28 0.0330808
  28 0.275 0.43 0.00297502
  29 0.285 0 0
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 0.38 0.00262909
  33 0.325 36.23 0.229844
  34 0.335 124.47 0.792016
  35 0.345 186.68 1.1835
  36 0.355 200.71 1.27065
  37 0.365 193 1.22845
  38 0.375 194.78 1.2354
  39 0.385 206.26 1.30875
  40 0.395 201.14 1.27197
  41 0.405 212.21 1.34442
  42 0.415 196.97 1.25151
  43 0.425 215.34 1.36514
  44 0.435 211.05 1.34122
  45 0.445 214.37 1.35867
  46 0.455 214.99 1.36237
  47 0.465 224.57 1.42534
  48 0.475 213.72 1.35643
  49 0.485 220.72 1.39977
  50 0.495 211.4 1.33995
  51 0.505 214.51 1.35834
  52 0.515 218.37 1.38959
  53 0.525 219.34 1.3903
  54 0.535 221.12 1.40049
  55 0.545 202.71 1.29283
  56 0.555 216.92 1.37321
  57 0.565 210.34 1.32993
  58 0.575 209.28 1.32787
  59 0.585 193.32 1.2305
  60 0.595 204.79 1.29918
  61 0.605 212.25 1.34381
