# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
0 -8.21565e-15 -3.9968e-15 -9.32587e-15 -7.94379e-20 -3.86455e-20 -9.01727e-20
1000 4.66294e-15 7.99361e-15 -2.66454e-14 4.50864e-20 7.72909e-20 -2.57636e-19
2000 6.21725e-15 0 -1.59872e-14 6.01152e-20 0 -1.54582e-19
3000 1.19904e-14 1.15463e-14 -7.10543e-15 1.15936e-19 1.11642e-19 -6.8703e-20
4000 8.99281e-15 0 1.06581e-14 8.69523e-20 0 1.03055e-19
5000 1.27676e-14 -3.10862e-15 -2.30926e-14 1.23451e-19 -3.00576e-20 -2.23285e-19
6000 4.21885e-15 -3.10862e-15 -1.59872e-14 4.07924e-20 -3.00576e-20 -1.54582e-19
7000 -2.22045e-15 1.23235e-14 -1.06581e-14 -2.14697e-20 1.19157e-19 -1.03055e-19
8000 -9.32587e-15 -1.77636e-15 1.77636e-15 -9.01727e-20 -1.71758e-20 1.71758e-20
9000 -1.15463e-14 2.66454e-15 -1.77636e-14 -1.11642e-19 2.57636e-20 -1.71758e-19
10000 -9.10383e-15 -6.43929e-15 1.06581e-14 -8.80258e-20 -6.22621e-20 1.03055e-19
11000 7.43849e-15 3.55271e-15 -7.10543e-15 7.19235e-20 3.43515e-20 -6.8703e-20
12000 -1.62093e-14 9.76996e-15 2.39808e-14 -1.56729e-19 9.44667e-20 2.31873e-19
13000 1.15463e-14 7.77156e-16 -2.66454e-15 1.11642e-19 7.51439e-21 -2.57636e-20
14000 1.77636e-15 -3.10862e-15 -3.55271e-15 1.71758e-20 -3.00576e-20 -3.43515e-20
15000 8.88178e-15 -5.77316e-15 -1.64313e-14 8.58788e-20 -5.58212e-20 -1.58876e-19
16000 1.11022e-15 -1.11022e-15 1.5099e-14 1.07348e-20 -1.07348e-20 1.45994e-19
17000 4.88498e-15 6.10623e-15 -2.44249e-15 4.72333e-20 5.90417e-20 -2.36167e-20
18000 0 -6.32827e-15 -5.32907e-15 0 -6.11886e-20 -5.15273e-20
19000 6.21725e-15 -1.08802e-14 -2.22045e-16 6.01152e-20 -1.05202e-19 -2.14697e-21
20000 -4.44089e-16 1.35447e-14 -4.44089e-15 -4.29394e-21 1.30965e-19 -4.29394e-20
21000 5.77316e-15 -1.09912e-14 -7.77156e-16 5.58212e-20 -1.06275e-19 -7.51439e-21
22000 -7.54952e-15 -5.9952e-15 5.4956e-15 -7.2997e-20 -5.79682e-20 5.31375e-20
23000 4.996e-15 1.77636e-15 1.77636e-15 4.83068e-20 1.71758e-20 1.71758e-20
24000 6.21725e-15 -1.28786e-14 0 6.01152e-20 -1.24524e-19 0
25000 -1.55431e-14 -9.32587e-15 -8.88178e-16 -1.50288e-19 -9.01727e-20 -8.58788e-21
26000 -1.02141e-14 1.13243e-14 -7.10543e-15 -9.87606e-20 1.09495e-19 -6.8703e-20
27000 1.33227e-15 4.32987e-15 -1.77636e-15 1.28818e-20 4.18659e-20 -1.71758e-20
28000 -3.88578e-16 1.77636e-15 -8.88178e-15 -3.7572e-21 1.71758e-20 -8.58788e-20
29000 7.54952e-15 -1.33227e-15 -4.44089e-15 7.2997e-20 -1.28818e-20 -4.29394e-20
30000 6.21725e-15 4.88498e-15 -7.10543e-15 6.01152e-20 4.72333e-20 -6.8703e-20
31000 3.9968e-15 3.55271e-15 -1.06581e-14 3.86455e-20 3.43515e-20 -1.03055e-19
32000 6.66134e-16 -5.32907e-15 1.33227e-15 6.44091e-21 -5.15273e-20 1.28818e-20
33000 3.10862e-15 4.44089e-16 8.43769e-15 3.00576e-20 4.29394e-21 8.15849e-20
