# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050
  1 0.005 2.86 0.0180625
  2 0.015 4.41 0.0276308
  3 0.025 6.9 0.0444098
  4 0.035 7.51 0.0472848
  5 0.045 2.96 0.0192891
  6 0.055 2.36 0.0146032
  7 0.065 0 0
  8 0.075 0 0
  9 0.085 0.38 0.00240486
  10 0.095 2.48 0.0156576
  11 0.105 0.14 0.000968611
  12 0.115 0 0
  13 0.125 2.09 0.0131664
  14 0.135 4.99 0.0314711
  15 0.145 4.95 0.0317463
  16 0.155 3.7 0.0238224
  17 0.165 2.27 0.0139805
  18 0.175 0 0
  19 0.185 3 0.0190311
  20 0.195 3.8 0.0234966
  21 0.205 2.2 0.0145656
  22 0.215 0 0
  23 0.225 0 0
  24 0.235 0 0
  25 0.245 1.57 0.00999986
  26 0.255 1.43 0.00903125
  27 0.265 1.99 0.0120605
  28 0.275 3.29 0.0213997
  29 0.285 3.72 0.0236331
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 0 0
  33 0.325 0.37 0.00247366
  34 0.335 34.35 0.220545
  35 0.345 163.72 1.03722
  36 0.355 225.77 1.43104
  37 0.365 230.57 1.46632
  38 0.375 237.3 1.50286
  39 0.385 235.6 1.49277
  40 0.395 225.22 1.4316
  41 0.405 232.97 1.47808
  42 0.415 224.58 1.42789
  43 0.425 227.27 1.43521
  44 0.435 214.43 1.36474
  45 0.445 222.37 1.40636
  46 0.455 228.85 1.45447
  47 0.465 224.68 1.42084
  48 0.475 199.15 1.26703
  49 0.485 200.54 1.26945
  50 0.495 162.26 1.03272
  51 0.505 171.9 1.08315
  52 0.515 186.66 1.18703
  53 0.525 200.22 1.26936
  54 0.535 207.17 1.32193
  55 0.545 210.14 1.33108
  56 0.555 228.12 1.442
  57 0.565 217.59 1.38174
  58 0.575 224.99 1.42956
  59 0.585 237.8 1.50601
  60 0.595 229.17 1.45218
  61 0.605 226.05 1.43449
  62 0.615 218.81 1.39425
  63 0.625 237.29 1.50519
  64 0.635 245.96 1.55503
  65 0.645 219.09 1.39043
  66 0.655 142.04 0.899881
  67 0.665 10 0.0656506
  68 0.675 0 0
  69 0.685 0 0
  70 0.695 0 0
  71 0.705 3.17 0.0196898
  72 0.715 2.83 0.0183724
  73 0.725 3 0.0190311
  74 0.735 2.29 0.0143948
  75 0.745 1.4 0.00885819
  76 0.755 2.31 0.0148092
  77 0.765 3.94 0.0255347
  78 0.775 4.84 0.0300366
  79 0.785 0.22 0.0015221
  80 0.795 0 0
  81 0.805 0 0
  82 0.815 2.59 0.0161945
  83 0.825 0.76 0.00525818
  84 0.835 4.6 0.0286003
  85 0.845 4.05 0.0260715
  86 0.855 2.99 0.0190482
  87 0.865 4.84 0.030968
  88 0.875 7.17 0.0451394
  89 0.885 0 0
  90 0.895 0 0
  91 0.905 0.23 0.00159129
  92 0.915 2.74 0.0172323
  93 0.925 4.76 0.030242
  94 0.935 4.11 0.0259519
  95 0.945 5.99 0.0380448
  96 0.955 3.01 0.0191348
  97 0.965 3.14 0.0199135
  98 0.975 2.98 0.0188927
  99 0.985 0.04 0.000276746
  100 0.995 0 0
2000 100 7050
  1 0.005 3.25 0.0206745
  2 0.015 4.45 0.0280973
  3 0.025 7.72 0.0485479
  4 0.035 4.95 0.0318153
  5 0.045 3.63 0.0231139
  6 0.055 3 0.0190311
  7 0.065 0 0
  8 0.075 0 0
  9 0.085 0 0
  10 0.095 1.02 0.00657407
  11 0.105 2.01 0.0126646
  12 0.115 1.74 0.0109691
  13 0.125 4.65 0.0296017
  14 0.135 1.81 0.0113671
  15 0.145 3.33 0.0209348
  16 0.155 4.44 0.0287008
  17 0.165 2 0.0124057
  18 0.175 0.89 0.00589887
  19 0.185 2.11 0.0131322
  20 0.195 1.55 0.00980975
  21 0.205 3.48 0.0222313
  22 0.215 0.97 0.00602116
  23 0.225 0 0
