# Time-averaged data for fix 2
# TimeStep v_TEMPERATURE v_PRESSURE v_KE v_PE v_TOT_ENG v_ECOUPLE v_ECONSERVE
0 220 171.046 4622.58 -11719.4 -7096.79 0 -7096.79
1000 216.217 989.559 4543.09 -7566.3 -3023.21 -4067.54 -7090.75
2000 200.558 1313.74 4214.07 -6650.6 -2436.53 -4649.48 -7086.01
3000 212.918 -158.203 4473.78 -6472.04 -1998.26 -5088.97 -7087.22
4000 228.5 -39.7222 4801.17 -6705.72 -1904.55 -5186.77 -7091.32
5000 224.757 83.1294 4722.54 -6520.46 -1797.92 -5293.82 -7091.74
6000 218.733 2.44906 4595.96 -6172.05 -1576.09 -5513.24 -7089.33
7000 213.324 21.2116 4482.3 -6004.07 -1521.78 -5566.84 -7088.62
8000 213.702 -295.273 4490.25 -5893.09 -1402.83 -5686.66 -7089.49
9000 222.541 -191.552 4675.96 -5908.11 -1232.14 -5858.02 -7090.17
10000 220.976 -187.761 4643.08 -5687.89 -1044.8 -6044.62 -7089.43
11000 221.37 -459.522 4651.37 -5483.57 -832.2 -6256.34 -7088.54
12000 217.482 -253.55 4569.67 -5397.73 -828.06 -6260.98 -7089.04
13000 225.033 -68.36 4728.32 -5390.02 -661.696 -6427.36 -7089.06
14000 222.246 -252.962 4669.78 -5257.59 -587.809 -6501.21 -7089.02
15000 222.556 -83.1373 4676.28 -5253.4 -577.126 -6511.55 -7088.67
16000 219.515 -241.001 4612.39 -5207.13 -594.747 -6493.67 -7088.42
17000 220.095 -318.311 4624.57 -5214.71 -590.141 -6498.61 -7088.75
18000 221.189 171.705 4647.56 -5354.97 -707.409 -6381.35 -7088.75
19000 218.101 -196.795 4582.68 -5351.22 -768.54 -6320.08 -7088.62
20000 221.51 -272.374 4654.31 -5474.71 -820.393 -6268.36 -7088.75
21000 217.129 165.749 4562.25 -5440.59 -878.34 -6210.56 -7088.9
22000 221.506 19.7134 4654.23 -5527.95 -873.716 -6215.46 -7089.18
23000 219.431 -211.098 4610.63 -5488.59 -877.962 -6211.04 -7089
24000 219.832 138.207 4619.05 -5493.38 -874.34 -6214.61 -7088.95
25000 218.637 -38.8873 4593.95 -5434.58 -840.632 -6247.8 -7088.43
26000 219.739 -7.71417 4617.1 -5418.74 -801.638 -6286.89 -7088.53
27000 219.714 -232.053 4616.58 -5468.6 -852.021 -6236.73 -7088.75
28000 219.559 -142.662 4613.3 -5501.91 -888.6 -6200.28 -7088.88
29000 220.718 224.472 4637.67 -5506.99 -869.326 -6219.32 -7088.65
30000 218.304 -91.5868 4586.93 -5491.54 -904.601 -6184.15 -7088.75
31000 220.124 -203.203 4625.18 -5355.32 -730.138 -6358.24 -7088.38
32000 215.478 -76.4511 4527.56 -5412.09 -884.522 -6204 -7088.53
33000 217.225 -15.8187 4564.28 -5415.54 -851.261 -6237.33 -7088.59
34000 222.278 -100.677 4670.44 -5344.37 -673.931 -6414.36 -7088.29
35000 218.632 -112.32 4593.83 -5352.24 -758.409 -6330.03 -7088.44
36000 216.683 96.7687 4552.89 -5339.22 -786.332 -6302.03 -7088.36
37000 219.21 70.8931 4605.98 -5391.42 -785.434 -6303.13 -7088.56
38000 221.022 115.114 4644.06 -5288.34 -644.286 -6444.26 -7088.55
39000 220.134 -295.829 4625.4 -5241.33 -615.93 -6472.67 -7088.6
40000 219.827 -211.113 4618.94 -5260.18 -641.24 -6447.39 -7088.63
41000 221.007 1.68029 4643.73 -5266.97 -623.236 -6465.09 -7088.32
42000 221.914 -159.81 4662.81 -5281.83 -619.023 -6469.08 -7088.1
43000 223.621 38.3436 4698.65 -5225.28 -526.625 -6561.57 -7088.19
44000 220.061 -74.1298 4623.86 -5313.44 -689.577 -6398.88 -7088.46
45000 221.178 -312.676 4647.34 -5303.04 -655.694 -6432.45 -7088.14
46000 222.37 44.2627 4672.38 -5335.61 -663.227 -6425.06 -7088.28
47000 221.17 139.349 4647.17 -5326.97 -679.8 -6408.4 -7088.2
48000 221.824 -81.7899 4660.91 -5373.6 -712.695 -6375.62 -7088.31
49000 218.46 -94.5748 4590.22 -5367.81 -777.581 -6310.73 -7088.31
50000 220.731 330.649 4637.93 -5328.28 -690.342 -6397.99 -7088.33
51000 217.749 205.719 4575.29 -5400.17 -824.883 -6263.96 -7088.84
52000 219.5 -180.641 4612.07 -5380.59 -768.518 -6320 -7088.51
53000 217.333 -0.991249 4566.55 -5323.94 -757.394 -6331.18 -7088.57
54000 218.802 44.8175 4597.41 -5235.15 -637.74 -6450.41 -7088.15
55000 217.01 81.0844 4559.75 -5391.8 -832.046 -6256.34 -7088.38
56000 218.129 -16.239 4583.27 -5353.03 -769.755 -6318.63 -7088.39
57000 221.646 -373.293 4657.18 -5336.68 -679.503 -6408.48 -7087.98
58000 222.312 -138.701 4671.17 -5386.27 -715.104 -6373.15 -7088.26
59000 218.546 56.1741 4592.03 -5411.08 -819.05 -6269.21 -7088.26
60000 218.238 -295.447 4585.57 -5455.08 -869.516 -6218.81 -7088.32
61000 220.517 -249.043 4633.44 -5343.15 -709.707 -6378.6 -7088.3
62000 217.042 113.168 4560.42 -5321.36 -760.944 -6327.34 -7088.28
63000 218.623 185.34 4593.65 -5415.26 -821.61 -6266.69 -7088.3
64000 224.843 -239.251 4724.33 -5321.3 -596.968 -6490.99 -7087.96
65000 219.057 93.1833 4602.77 -5314.26 -711.495 -6376.66 -7088.16
66000 216.656 -95.4778 4552.32 -5379.27 -826.941 -6261.51 -7088.45
67000 217.145 -68.7643 4562.59 -5438.44 -875.844 -6212.33 -7088.17
68000 216.19 -262.522 4542.52 -5370.94 -828.423 -6259.73 -7088.15
69000 221.05 -105.545 4644.64 -5388.84 -744.203 -6344.18 -7088.38
70000 221.167 -12.978 4647.1 -5369.11 -722.013 -6366.45 -7088.46
71000 223.093 -25.0523 4687.58 -5448.86 -761.284 -6327.38 -7088.66
72000 217.165 -36.1334 4563.01 -5476.43 -913.42 -6175.15 -7088.57
73000 218.256 46.3769 4585.93 -5455.61 -869.683 -6218.58 -7088.27
74000 222.302 199.698 4670.94 -5428.35 -757.403 -6331.2 -7088.61
75000 218.468 -126.984 4590.39 -5534.95 -944.556 -6144.2 -7088.75
76000 215.726 -63.7368 4532.78 -5455.8 -923.021 -6165.57 -7088.59
77000 215.578 56.048 4529.66 -5525.36 -995.7 -6092.93 -7088.63
78000 218.877 164.428 4598.99 -5454.83 -855.838 -6232.53 -7088.37
79000 218.242 -328.715 4585.64 -5461.16 -875.516 -6213.2 -7088.72
80000 218.288 -4.82975 4586.62 -5471.44 -884.825 -6203.77 -7088.6
81000 218.803 -3.29007 4597.42 -5445.54 -848.122 -6240.97 -7089.09
82000 224.343 58.3919 4713.83 -5453.12 -739.281 -6349.76 -7089.04
83000 217.937 -0.379686 4579.24 -5392.34 -813.094 -6275.86 -7088.96
84000 218.12 99.5587 4583.09 -5415.14 -832.058 -6256.73 -7088.79
85000 220.551 195.125 4634.15 -5413.17 -779.013 -6310.01 -7089.02
86000 216.861 -244.212 4556.62 -5410.93 -854.309 -6234.72 -7089.03
87000 222.382 -79.8717 4672.63 -5413.58 -740.955 -6347.96 -7088.91
88000 220.622 67.6569 4635.64 -5358.74 -723.104 -6365.65 -7088.75
89000 221.611 -4.62823 4656.43 -5459.14 -802.712 -6286.09 -7088.8
90000 217.072 -226.936 4561.06 -5425.31 -864.248 -6224.79 -7089.04
91000 219.591 -128.338 4613.98 -5462.26 -848.28 -6240.64 -7088.92
92000 221.467 -42.7696 4653.4 -5429.27 -775.867 -6312.93 -7088.8
93000 219.375 191.002 4609.46 -5480.86 -871.403 -6217.65 -7089.06
94000 217.535 -122.57 4570.79 -5451.54 -880.755 -6208.17 -7088.93
95000 218.47 -100.179 4590.43 -5482.78 -892.347 -6196.49 -7088.83
96000 218.995 178.468 4601.47 -5591.53 -990.061 -6098.93 -7088.99
97000 219.575 40.941 4613.66 -5495.1 -881.442 -6207.34 -7088.78
98000 220.642 82.0639 4636.07 -5491.61 -855.544 -6233 -7088.55
99000 220.906 -2.10876 4641.62 -5614.37 -972.743 -6115.72 -7088.46
100000 216.713 104.784 4553.5 -5594.82 -1041.32 -6047.37 -7088.69
101000 222.619 -188.689 4677.62 -5671.08 -993.461 -6095.48 -7088.94
102000 219.012 -32.0955 4601.81 -5698.28 -1096.46 -5992.07 -7088.53
103000 221.129 73.2011 4646.3 -5671.29 -1024.98 -6063.5 -7088.49
104000 221.805 90.935 4660.51 -5755.48 -1094.97 -5994.03 -7089
105000 219.441 -151.565 4610.84 -5703.71 -1092.86 -5995.72 -7088.58
106000 219 109.141 4601.58 -5782.5 -1180.92 -5907.56 -7088.48
107000 218.59 216.08 4592.95 -5786.95 -1194 -5894.75 -7088.75
108000 222.91 53.9401 4683.72 -5833.91 -1150.18 -5938.98 -7089.16
109000 218.809 34.771 4597.56 -5785.28 -1187.71 -5901.07 -7088.78
110000 219.279 51.4164 4607.43 -5788.7 -1181.27 -5907.28 -7088.55
111000 221.758 -112.45 4659.52 -5813.8 -1154.28 -5934.49 -7088.77
112000 219.59 192.414 4613.96 -5809.38 -1195.42 -5893.54 -7088.96
113000 217.093 95.3515 4561.49 -5881.72 -1320.23 -5768.81 -7089.05
114000 222.331 91.2439 4671.57 -5674.87 -1003.3 -6085.4 -7088.7
115000 218.811 9.59427 4597.6 -5634.83 -1037.23 -6051.37 -7088.6
116000 220.402 -510.709 4631.02 -5556.47 -925.45 -6163.39 -7088.84
117000 224.009 -231.751 4706.83 -5634.58 -927.753 -6161.41 -7089.17
118000 220.803 247.154 4639.46 -5634.7 -995.239 -6093.66 -7088.9
119000 217.496 212.714 4569.96 -5501.49 -931.53 -6156.9 -7088.43
120000 225.113 -91.0164 4730.01 -5564.13 -834.119 -6254.45 -7088.57
121000 222.224 26.6378 4669.32 -5584.16 -914.838 -6174.08 -7088.92
122000 221.163 -92.8227 4647.02 -5571.91 -924.889 -6163.87 -7088.76
123000 224.949 112.323 4726.57 -5510.7 -784.13 -6304.27 -7088.4
124000 218.004 -229.998 4580.64 -5466.01 -885.364 -6203 -7088.37
125000 216.939 -75.2681 4558.27 -5425.79 -867.513 -6221.09 -7088.6
126000 219.52 -37.8475 4612.49 -5472.76 -860.276 -6228.37 -7088.64
127000 220.039 -169.66 4623.4 -5504.06 -880.66 -6207.89 -7088.55
128000 221.923 -208.111 4662.98 -5471.1 -808.129 -6280.36 -7088.49
129000 220.279 -117.791 4628.45 -5470.18 -841.736 -6246.65 -7088.39
130000 225.647 -79.8433 4741.22 -5369.87 -628.641 -6459.54 -7088.18
131000 227.46 112.144 4779.33 -5342.7 -563.37 -6524.93 -7088.3
132000 219.161 -23.7018 4604.95 -5371.71 -766.763 -6321.59 -7088.36
133000 217.552 104.715 4571.14 -5408.37 -837.226 -6251.44 -7088.67
134000 215.585 -154.627 4529.81 -5408.38 -878.57 -6210.08 -7088.65
